epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,5799.78,1.49577,0.98731,1.24915,0.67984,0.72596,0.75009,0.44447,1.53943,0.91021,1.27708,0.0090595,0.0090595,0.0090595
97,5859.75,1.4888,0.983,1.24855,0.68734,0.72227,0.7541,0.44653,1.53683,0.90728,1.27597,0.0090496,0.0090496,0.0090496
98,5920.14,1.48102,0.9769,1.24526,0.69021,0.72605,0.75647,0.45047,1.53614,0.90798,1.27671,0.0090397,0.0090397,0.0090397
99,5980.23,1.48548,0.9857,1.24866,0.69577,0.72775,0.76206,0.45099,1.5368,0.90645,1.27699,0.0090298,0.0090298,0.0090298
100,6040.34,1.4826,0.98357,1.24823,0.694,0.72514,0.76026,0.44978,1.53812,0.90628,1.2782,0.0090199,0.0090199,0.0090199
101,6100.64,1.4768,0.98205,1.24575,0.68726,0.7316,0.76116,0.44999,1.5387,0.90647,1.27747,0.00901,0.00901,0.00901
102,6160.28,1.48315,0.98214,1.24591,0.69474,0.72713,0.76129,0.45024,1.53966,0.90629,1.27745,0.0090001,0.0090001,0.0090001
103,6220.15,1.48356,0.9803,1.24783,0.69447,0.72244,0.75868,0.44983,1.5398,0.90569,1.27688,0.0089902,0.0089902,0.0089902
104,6280.34,1.48863,0.9795,1.24817,0.69397,0.72566,0.75827,0.44981,1.53879,0.90527,1.27645,0.0089803,0.0089803,0.0089803
105,6340.16,1.48613,0.97246,1.24442,0.70076,0.71378,0.75739,0.44892,1.5386,0.90445,1.27655,0.0089704,0.0089704,0.0089704
106,6399.98,1.47925,0.97123,1.24371,0.69262,0.72431,0.75967,0.4501,1.53859,0.90488,1.27657,0.0089605,0.0089605,0.0089605
107,6460,1.47881,0.9711,1.24418,0.69662,0.72088,0.75982,0.45016,1.53839,0.90369,1.27683,0.0089506,0.0089506,0.0089506
108,6520.04,1.47769,0.97052,1.24623,0.70022,0.72175,0.75953,0.44946,1.53873,0.90349,1.27706,0.0089407,0.0089407,0.0089407
109,6580.32,1.4855,0.97908,1.24544,0.69934,0.71709,0.75838,0.44914,1.5397,0.90462,1.27766,0.0089308,0.0089308,0.0089308
110,6640.2,1.48036,0.98333,1.24271,0.6969,0.71502,0.7578,0.44972,1.53793,0.90505,1.27703,0.0089209,0.0089209,0.0089209
111,6700.38,1.47264,0.97566,1.24258,0.70236,0.70761,0.7591,0.44933,1.53776,0.90582,1.27685,0.008911,0.008911,0.008911
112,6760.29,1.47452,0.97032,1.2422,0.69944,0.7122,0.75966,0.45174,1.53781,0.90591,1.27669,0.0089011,0.0089011,0.0089011
113,6820.41,1.47884,0.97698,1.24393,0.69804,0.71371,0.76125,0.45323,1.5376,0.90518,1.27676,0.0088912,0.0088912,0.0088912
114,6881,1.48326,0.97294,1.23996,0.70106,0.71241,0.76068,0.4537,1.53822,0.90506,1.2766,0.0088813,0.0088813,0.0088813
115,6940.91,1.48273,0.97449,1.2421,0.68851,0.72411,0.76186,0.45147,1.53806,0.904,1.27593,0.0088714,0.0088714,0.0088714
116,7000.94,1.48539,0.97089,1.24133,0.69164,0.71944,0.75806,0.45226,1.53687,0.90333,1.27465,0.0088615,0.0088615,0.0088615
117,7060.52,1.4826,0.97268,1.24153,0.69453,0.72007,0.76124,0.4526,1.53664,0.90357,1.2741,0.0088516,0.0088516,0.0088516
118,7120.9,1.46971,0.96543,1.24149,0.69566,0.71946,0.75853,0.45378,1.53638,0.90413,1.2736,0.0088417,0.0088417,0.0088417
119,7180.93,1.4715,0.96472,1.23885,0.69618,0.72066,0.75914,0.4531,1.53652,0.90392,1.27366,0.0088318,0.0088318,0.0088318
120,7240.82,1.47333,0.96987,1.24311,0.69123,0.72554,0.75718,0.45226,1.5371,0.90366,1.27372,0.0088219,0.0088219,0.0088219
121,7301.11,1.47389,0.9685,1.24152,0.69144,0.72583,0.76002,0.45187,1.53669,0.90348,1.27357,0.008812,0.008812,0.008812
122,7361.22,1.48729,0.96977,1.23965,0.69739,0.7193,0.75739,0.45164,1.53673,0.90353,1.27325,0.0088021,0.0088021,0.0088021
123,7420.92,1.46367,0.96035,1.23328,0.70285,0.71685,0.75682,0.45179,1.53667,0.90301,1.27318,0.0087922,0.0087922,0.0087922
124,7481.42,1.46502,0.96397,1.2326,0.70686,0.71762,0.75782,0.45173,1.53672,0.90277,1.27323,0.0087823,0.0087823,0.0087823
125,7541.8,1.47374,0.95699,1.23663,0.71048,0.71696,0.75783,0.45184,1.53638,0.90239,1.27304,0.0087724,0.0087724,0.0087724
126,7601.81,1.47257,0.95931,1.23729,0.70956,0.70789,0.75728,0.45162,1.53641,0.90228,1.27309,0.0087625,0.0087625,0.0087625
127,7661.92,1.4763,0.96453,1.24097,0.70977,0.7076,0.75655,0.45099,1.53582,0.90163,1.27257,0.0087526,0.0087526,0.0087526
128,7721.98,1.47106,0.9619,1.23577,0.70978,0.70622,0.75745,0.45137,1.5357,0.90138,1.27242,0.0087427,0.0087427,0.0087427
129,7782.15,1.45982,0.95811,1.23663,0.71229,0.70355,0.75828,0.45179,1.53643,0.90147,1.27287,0.0087328,0.0087328,0.0087328
130,7841.96,1.47009,0.95866,1.23928,0.71403,0.70917,0.75993,0.45171,1.53709,0.90175,1.2731,0.0087229,0.0087229,0.0087229
131,7902.11,1.47441,0.96523,1.23778,0.70907,0.71214,0.75928,0.45177,1.53716,0.90149,1.27312,0.008713,0.008713,0.008713
132,7962.36,1.47269,0.95658,1.23561,0.70939,0.71418,0.75968,0.45158,1.53694,0.90089,1.27262,0.0087031,0.0087031,0.0087031
133,8022.79,1.46275,0.9561,1.23449,0.70737,0.71643,0.75964,0.45187,1.53673,0.90046,1.27274,0.0086932,0.0086932,0.0086932
134,8082.7,1.4645,0.95499,1.23568,0.7035,0.72087,0.75938,0.45175,1.53679,0.90064,1.27253,0.0086833,0.0086833,0.0086833
135,8143.13,1.4694,0.95586,1.23607,0.70955,0.71715,0.76074,0.45257,1.53676,0.89998,1.27233,0.0086734,0.0086734,0.0086734
136,8203.77,1.46612,0.95873,1.23429,0.70798,0.72063,0.761,0.45319,1.5362,0.89949,1.27203,0.0086635,0.0086635,0.0086635
137,8264.12,1.46676,0.95522,1.23555,0.70305,0.72047,0.76028,0.45256,1.53586,0.89906,1.27194,0.0086536,0.0086536,0.0086536
138,8324.19,1.46533,0.95768,1.23353,0.70403,0.72082,0.76073,0.45234,1.53602,0.89872,1.27191,0.0086437,0.0086437,0.0086437
139,8384.6,1.47166,0.9584,1.23219,0.70182,0.72277,0.75896,0.45182,1.53589,0.89821,1.27197,0.0086338,0.0086338,0.0086338
140,8444.71,1.45849,0.9475,1.22966,0.7034,0.72179,0.75913,0.45192,1.5361,0.89751,1.27232,0.0086239,0.0086239,0.0086239
141,8504.71,1.47162,0.95763,1.23351,0.70387,0.72066,0.75926,0.45161,1.53624,0.89787,1.27221,0.008614,0.008614,0.008614
142,8564.89,1.46073,0.95045,1.2272,0.70272,0.72047,0.75965,0.45253,1.53644,0.8976,1.2723,0.0086041,0.0086041,0.0086041
143,8625.2,1.45832,0.94974,1.23018,0.70351,0.72059,0.75929,0.45199,1.53643,0.89712,1.27221,0.0085942,0.0085942,0.0085942
144,8685.11,1.45764,0.94777,1.2262,0.70246,0.72175,0.75922,0.45292,1.53631,0.89698,1.27174,0.0085843,0.0085843,0.0085843
145,8745.12,1.45858,0.95275,1.22864,0.70332,0.72164,0.75939,0.45239,1.53641,0.8971,1.2715,0.0085744,0.0085744,0.0085744
146,8805.52,1.46123,0.94754,1.23218,0.69998,0.72527,0.76023,0.45356,1.53609,0.89724,1.2712,0.0085645,0.0085645,0.0085645
147,8865.58,1.4647,0.95349,1.22995,0.70045,0.72536,0.75928,0.45304,1.5363,0.89714,1.27129,0.0085546,0.0085546,0.0085546
148,8925.74,1.47554,0.95631,1.23719,0.70274,0.72393,0.75973,0.45301,1.53666,0.89701,1.27112,0.0085447,0.0085447,0.0085447
149,8986.15,1.4626,0.9502,1.23037,0.70277,0.72139,0.75947,0.4529,1.53694,0.8969,1.27104,0.0085348,0.0085348,0.0085348
150,9046.48,1.46011,0.94804,1.22459,0.70253,0.72175,0.75953,0.45294,1.53727,0.89654,1.27121,0.0085249,0.0085249,0.0085249
151,9106.71,1.46082,0.9517,1.22667,0.70251,0.72194,0.75941,0.45301,1.53723,0.89614,1.27112,0.008515,0.008515,0.008515
152,9166.8,1.45957,0.95192,1.22826,0.70187,0.72169,0.75935,0.45353,1.53746,0.89557,1.2711,0.0085051,0.0085051,0.0085051
153,9227.77,1.45895,0.95159,1.2284,0.70196,0.72125,0.75918,0.45269,1.53746,0.89576,1.27095,0.0084952,0.0084952,0.0084952
154,9287.82,1.45535,0.9443,1.22462,0.70183,0.72357,0.75922,0.45265,1.53733,0.89545,1.27113,0.0084853,0.0084853,0.0084853
155,9348.15,1.45557,0.94551,1.2337,0.69202,0.73161,0.76024,0.45328,1.53731,0.89516,1.27133,0.0084754,0.0084754,0.0084754
156,9408.63,1.45407,0.93457,1.22996,0.69922,0.72529,0.75921,0.45312,1.5372,0.89526,1.27119,0.0084655,0.0084655,0.0084655
157,9468.62,1.46061,0.95148,1.23261,0.70133,0.72052,0.7595,0.45326,1.53723,0.89542,1.27119,0.0084556,0.0084556,0.0084556
158,9528.49,1.45368,0.94263,1.2286,0.70051,0.71786,0.75862,0.45327,1.53719,0.89524,1.27121,0.0084457,0.0084457,0.0084457
159,9588.81,1.45451,0.94285,1.22654,0.70821,0.71264,0.75878,0.45285,1.53744,0.8948,1.27134,0.0084358,0.0084358,0.0084358
160,9649.21,1.45595,0.93729,1.2282,0.70626,0.71454,0.75921,0.45324,1.53749,0.89493,1.27136,0.0084259,0.0084259,0.0084259
161,9709.33,1.4688,0.9526,1.23156,0.70456,0.71634,0.75927,0.45369,1.53788,0.89483,1.27146,0.008416,0.008416,0.008416
162,9770.05,1.46329,0.94825,1.22723,0.698,0.7241,0.75927,0.45358,1.53747,0.89426,1.27134,0.0084061,0.0084061,0.0084061
163,9830.7,1.45399,0.94144,1.2283,0.69781,0.72495,0.76044,0.45385,1.53739,0.89428,1.27122,0.0083962,0.0083962,0.0083962
164,9892.27,1.4553,0.93953,1.22833,0.70065,0.72117,0.76074,0.45416,1.53742,0.89391,1.27126,0.0083863,0.0083863,0.0083863
165,9954.02,1.45725,0.94334,1.22808,0.69285,0.72844,0.76033,0.45411,1.53715,0.89383,1.2709,0.0083764,0.0083764,0.0083764
166,10014.1,1.45653,0.94082,1.22767,0.69806,0.72308,0.76035,0.45366,1.53741,0.89383,1.27103,0.0083665,0.0083665,0.0083665
167,10074.4,1.46035,0.94315,1.22893,0.68718,0.73241,0.76157,0.45403,1.53731,0.89346,1.27062,0.0083566,0.0083566,0.0083566
168,10134.8,1.45343,0.93744,1.2245,0.69066,0.73068,0.76164,0.45394,1.53734,0.8931,1.27061,0.0083467,0.0083467,0.0083467
169,10195,1.4554,0.94453,1.22649,0.7063,0.71194,0.76093,0.4533,1.53706,0.89301,1.27048,0.0083368,0.0083368,0.0083368
170,10255.1,1.45486,0.93088,1.22736,0.70599,0.7104,0.76023,0.45327,1.53736,0.89305,1.27056,0.0083269,0.0083269,0.0083269
171,10315.6,1.45396,0.94181,1.22557,0.70559,0.70973,0.76055,0.45294,1.53715,0.89258,1.27044,0.008317,0.008317,0.008317
172,10375.9,1.4652,0.94033,1.2295,0.70841,0.70694,0.76101,0.45284,1.5374,0.89244,1.27033,0.0083071,0.0083071,0.0083071
173,10435.7,1.45881,0.9415,1.22601,0.70699,0.70926,0.76152,0.45338,1.53745,0.89257,1.27026,0.0082972,0.0082972,0.0082972
174,10496.3,1.44928,0.93768,1.22319,0.70666,0.71035,0.76157,0.45388,1.53727,0.89247,1.26993,0.0082873,0.0082873,0.0082873
175,10556.6,1.45077,0.93675,1.21895,0.70589,0.71099,0.76215,0.45387,1.53712,0.89226,1.26964,0.0082774,0.0082774,0.0082774
176,10616.7,1.43819,0.92913,1.21838,0.70607,0.71029,0.76112,0.45298,1.53697,0.89219,1.26954,0.0082675,0.0082675,0.0082675
177,10677.4,1.44943,0.93518,1.22271,0.70696,0.70893,0.76098,0.45332,1.53728,0.89225,1.26983,0.0082576,0.0082576,0.0082576
178,10737.8,1.44917,0.9417,1.22468,0.7057,0.71143,0.76146,0.45355,1.53692,0.8924,1.26965,0.0082477,0.0082477,0.0082477
179,10798,1.44803,0.9314,1.22265,0.70631,0.7102,0.76138,0.45345,1.53715,0.89225,1.26977,0.0082378,0.0082378,0.0082378
180,10858.2,1.45057,0.93418,1.22538,0.70656,0.7105,0.76103,0.45397,1.53709,0.89196,1.26973,0.0082279,0.0082279,0.0082279
181,10918.5,1.4471,0.93378,1.22295,0.70614,0.71031,0.76174,0.45402,1.53715,0.89149,1.26978,0.008218,0.008218,0.008218
